Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_379,3.833333333,23.66666667,397,32193.26667,2469,1004.666667,0.407800667,261248,1506666.667,0.172687,237969,13.05606667,8.830806667,123.1976667,44550.56667,10610000,1369495.333,328,805.092,0.299666667,52.03253333,0.248857667,0.288038,0.463103667,0.242242667,0.343721667,0.414035667
160_271_198,5,16.33333333,334,23610.26667,2328,678,0.299156667,208789.3333,985768.6667,0.214042667,201907.6667,14.33483333,9.063493333,153.501,32568.1,10110000,1103333.333,213,758.909,0.249,55.45956667,0.211631,0.256189333,0.532179333,0.220360667,0.360936667,0.418702667
160_271_14,5,17.33333333,251.3333333,21115.73333,1825.666667,894.3333333,0.504062,181376.3333,1102102.333,0.169862667,156618,14.37463333,9.087573333,118.811,30262.2,7580000,920431.6667,194.3333333,653.5126667,0.216333333,52.82006667,0.231506667,0.29846,0.470033333,0.217336667,0.352096667,0.430567333
160_271_153,2.666666667,16.66666667,326,22691.53333,2544,962.3333333,0.380534667,203492.6667,1660000,0.122927,193118.6667,13.7062,9.64809,116.2873333,32878.66667,7990000,1003957,170.6666667,980.0656667,0.283,56.32836667,0.199168667,0.263023667,0.537807667,0.215645,0.343051667,0.441303333
160_271_12,3.666666667,19.33333333,266.3333333,22097.16667,2237.666667,1195,0.542334333,224600,1573333.333,0.145804333,175374,17.16113333,9.64809,134.3946667,31959.73333,12633333.33,1138533.333,162.6666667,1175.857,0.263333333,53.9314,0.220932333,0.292720667,0.486346667,0.213088333,0.336739333,0.450171333
160_271_320,2.333333333,9.666666667,146,10128.41333,2007,490.6666667,0.243792333,95819.66667,648801.6667,0.149557667,76859,18.44883333,9.857256667,108.7196333,15365.56333,4836666.667,468389.3333,65.66666667,2297.435667,0.173666667,57.49846667,0.190902333,0.250477667,0.55862,0.202111333,0.329837,0.468051333
160_271_131,4.333333333,18.66666667,389.3333333,27363.63333,2448.666667,732.3333333,0.298705,267259.3333,1026831.667,0.262322667,213760,15.21463333,9.904856667,128.32,37220.96667,13093333.33,1356666.667,242,976.144,0.281,56.59426667,0.213764333,0.220925333,0.56531,0.194552333,0.327962333,0.477485667
160_271_58,1.666666667,9.333333333,57.33333333,6062.476667,1284.666667,812.3333333,0.642749,85621.66667,569277,0.152400667,53050,21.92673333,9.946526667,114.4853333,10027.30333,5450000,397262,10,4268.213333,0.145,55.2931,0.218556,0.253563,0.527880667,0.1399661,0.383006333,0.477028
160_271_392,3,16.66666667,264.6666667,18732.33333,2300.666667,916,0.392305,192038.3333,1272280.667,0.15701,148719.6667,15.4364,9.96937,129.8206667,28399.53333,9560000,917277.6667,115.6666667,1297.56,0.268333333,55.71783333,0.196510667,0.277939333,0.52555,0.203709,0.314844667,0.481446333
160_271_174,3,12,200.6666667,14923.89333,2372,574.3333333,0.242168333,141571.3333,796690.6667,0.179645667,114857,14.18083333,10,106.3409667,22539.26667,5383333.333,680994,85.33333333,1313.519,0.203666667,57.6069,0.188964667,0.244755667,0.566279667,0.187825333,0.356508667,0.455666
160_271_27,2.666666667,13.33333333,204,15755.43333,2160,1040.666667,0.47951,201004.3333,1375745,0.150366333,138123.6667,18.90036667,10.00862667,141.7806667,24043.03333,12890000,941358.6667,74,1918.08,0.225666667,56.22826667,0.195406667,0.268920333,0.535673,0.170569333,0.350864333,0.478566667
160_271_193,4.333333333,18.33333333,351.3333333,23349.7,2225.333333,846,0.386191,229116.6667,1153691.667,0.201710667,185468.3333,16.44613333,10.04906,133.5603333,32068.1,12676666.67,1205400,193.3333333,782.978,0.256333333,58.00263333,0.195345667,0.223283667,0.581370333,0.194463,0.330138333,0.475398667
160_271_17,1.333333333,10.33333333,59.66666667,6767.95,1572.666667,811.6666667,0.502032667,120570.3333,684734.6667,0.219069,84025.33333,28.24273333,10.066,137.0453333,10762.30667,9926666.667,556042.3333,18.33333333,1268.332333,0.150666667,56.53683333,0.215266667,0.241979667,0.542753,0.146549333,0.368026333,0.485424667
160_271_11,3,16.33333333,213.6666667,14978.97667,1663.333333,1198.666667,0.755671333,146661.3333,1191514.333,0.124413667,135347.6667,15.22673333,10.14807,118.3126667,22509.13333,5880000,692567,90,1417.320667,0.217,51.00483333,0.245865333,0.326259,0.427875667,0.206259667,0.301019667,0.492720667
160_271_374,1.666666667,9.666666667,115.3333333,7905.51,1540.333333,686.6666667,0.457792667,116471.6667,627241.6667,0.185215667,74156.33333,23.35166667,10.14807,124.8646667,11850.62,7990000,564062,26.33333333,1263.13,0.171333333,55.08206667,0.213166,0.280020667,0.506813333,0.178499667,0.328987667,0.492513
